term,source,occurrences,file_line
使用方法,current-heading,15,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/01_HttpDumpTool/01_HttpDumpTool.rst:31
使用禁止タグ・属性のカスタマイズ方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst:93
依存関係の追加,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:696
入力となるHTML生成,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/01_HttpDumpTool/01_HttpDumpTool.rst:47
全体像,current-heading,6,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:16
具体例,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:313
出力ライブラリ(同期応答メッセージ送信処理)の構造とテスト範囲,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/send_sync.rst:8
前提事項,current-heading,3,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_RequestUnitTest.rst:63
前提条件,current-heading,6,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/rest.rst:5
動作イメージ,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:57
単体テスト実施方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/index.rst:4
参照系のテスト,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:53
取引単体テストでの二重サブミット防止機能のテスト実施方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/double_transmission.rst:25
取引単体テストのテストクラス例,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/rest.rst:9
取引単体テストの実施方法,current-heading,10,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/index.rst:4
取引単体テストの実施方法（バッチ）,current-heading,7,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/batch.rst:2
取引単体テストの実施方法（同期応答メッセージ受信処理),current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/real.rst:2
取引単体テストの実施方法（応答不要メッセージ受信処理）,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/delayed_receive.rst:2
取引単体テストの実施方法（応答不要メッセージ送信処理）,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/delayed_send.rst:2
可変長ファイル,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst:173
各種期待値,current-heading,5,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:447
各種準備データ,current-heading,3,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/batch.rst:168
各種設定値,current-heading,8,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_RequestUnitTest.rst:304
同じテストメソッドをテストデータを変えて実行したい,current-heading,3,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:107
同期応答メッセージ送信処理,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_send_sync.rst:147
同期応答メッセージ送信処理を伴う取引単体テストの実施方法,current-heading,5,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:4
命名規約,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:203
固定長ファイル,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst:142
固定長ファイル、CSVファイルの場合,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/fileupload.rst:61
基本的なテスト方法,current-heading,3,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:46
基本的な使い方,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:49
基本的な記述方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/batch.rst:49
外部キーが設定されたテーブルにデータをセットアップしたい,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:544
外部キーが設定されたテーブルを使用する場合について,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:94
外部プログラム選択,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/01_HttpDumpTool/02_SetUpHttpDumpTool.rst:79
実行,current-heading,2,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_RequestUnitTest.rst:208
実行方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/02_MasterDataSetup/01_MasterDataSetupTool.rst:43
実装するインタフェース,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:795
常駐バッチのテスト用ハンドラ構成,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_batch.rst:184
必要となるスキーマ,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:36
提供方法,current-heading,3,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/01_HttpDumpTool/02_SetUpHttpDumpTool.rst:23
文字種と文字列長の単項目精査テストケース,current-heading,2,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst:66
日付の記述方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:403
更新系のテスト,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:166
本フレームワークのクラスを継承せずに使用したい,current-heading,2,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:572
概要,current-heading,25,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_receive.rst:6
構造,current-heading,31,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_RequestUnitTest.rst:79
注意事項,current-heading,5,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:582
注意点,current-heading,6,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_DbAccessTest.rst:497
特徴,current-heading,6,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:8
独自の拡張を加える,current-heading,7,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:170
独自拡張クラスを作成する,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:184
独自拡張用のExtensionを作成する,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/JUnit5_Extension.rst:208
環境構築,current-heading,5,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/04_MasterDataRestore.rst:75
目的,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/03_HtmlCheckTool/index.rst:10
目的別API使用方法,current-heading,38,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:3
結果を確認する,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/rest.rst:74
結果確認,current-heading,2,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/02_RequestUnitTest.rst:248
自動テストフレームワーク,current-heading,19,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:4
自動テストフレームワークの使用方法,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/index.rst:4
自動テストフレームワークの構成,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:137
自動テストフレームワーク設定値,current-heading,2,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst:702
複数のデータタイプ使用時はデータタイプごとにまとめてデータを記述する,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/01_Abstract.rst:625
複雑なテストケースの場合,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/batch.rst:33
要求電文のアサート,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:133
要求電文のログ出力,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/send_sync.rst:222
要求電文の期待値および、返却する応答電文（レスポンスメッセージ）の準備,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/delayed_send.rst:52
設定,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/RequestUnitTest_rest.rst:75
設定ファイルの例,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:357
設定ファイル例,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/06_TestFWGuide/03_Tips.rst:310
設定画面起動,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/01_HttpDumpTool/02_SetUpHttpDumpTool.rst:68
起動用バッチファイル（シェルスクリプト）選択,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/08_TestTools/01_HttpDumpTool/02_SetUpHttpDumpTool.rst:88
電文を1回送信する場合の要求電文の期待値および、返却する応答電文（レスポンスメッセージ）の例,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:20
電文を2回以上送信する場合の要求電文の期待値および、返却する応答電文（レスポンスメッセージ）の例,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/02_RequestUnitTest/http_send_sync.rst:52
非常に簡単なテストケースの場合,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/03_DealUnitTest/batch.rst:42
項目間精査のテストケース,current-heading,1,ja/development_tools/testing_framework/guide/development_guide/05_UnitTestGuide/01_ClassUnitTest/01_entityUnitTest/01_entityUnitTestWithBeanValidation.rst:430
DB アクセステスト,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:427
DB 系（SETUP_TABLE / EXPECTED_TABLE / EXPECTED_COMPLETE_TABLE / LIST_MAP）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:131
FwHeaderDefinition / fwHeaderDefinition,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:359
HTML ダンプ出力,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:457
HTTP 同期応答メッセージ送信の用語読み替え,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:398
requestParams の仕様,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:271
testShots / requestParams（テストケース一覧）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:234
testShots カラム一覧（ウェブアプリケーション）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:245
testShots カラム一覧（バッチ処理）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:277
testShots カラム一覧（メッセージング受信）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:296
その他のフレームワーク固有用語,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:526
カラム省略の制約,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:154
グループ ID,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:118
コメント,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:102
コンポーネント設定の主要項目,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:463
シート・行・列・セル,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:61
セル値の解釈規則（特殊記法・マーカーカラム・コメント）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:80
タイムスタンプ形式,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:159
テスト種別と主要クラス,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:412
テスト種別の正式名称,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:414
ディレクティブ,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:213
デフォルト値,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:144
データタイプ別の行構造,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:129
データタイプ（Data Types）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:36
ファイルデータのフィールド定義用語,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:202
マスタデータ復旧機能,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:163
マーカーカラム,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:98
メッセージデータタイプ（同期応答メッセージ送信）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:364
メッセージデータ構造（受信: setUpMessages / expectedMessages）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:341
メッセージング,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:325
リクエスト単体テスト（RESTful ウェブサービス）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:473
リクエスト単体テスト（ウェブアプリケーション）の主要クラス,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:443
リクエスト単体テスト（バッチ処理）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:487
リクエスト単体テスト（メッセージ受信処理）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:500
リクエスト単体テスト（同期応答メッセージ送信処理）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:511
ログ検証（expectedLog）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:312
制約事項（同期応答メッセージ送信）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:392
可変長ファイル（SETUP_VARIABLE / EXPECTED_VARIABLE）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:185
固定長ファイル（SETUP_FIXED / EXPECTED_FIXED）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:167
基本用語,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:327
日付記述フォーマット,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:106
特殊記法,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:84
用語ドメインの全体像,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:12
設計原則（用語として登場する概念）,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:110
障害系テスト用特殊値,ntf-doc-terms-heading,1,.rn/20260724-ntf-yaml-support/input/ntf-doc-terms.md:383
1. 読者と構成,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:3
10. 未確定事項,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:254
1ページごとにレビューする,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:248
2. 第1部 テスティングフレームワークとは,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:23
3. 第2部 導入と設定,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:56
4. 第3部 テストの実装方法,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:107
5. 処理方式の名称,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:160
6. 用語,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:184
7. トンマナ,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:205
8. 対象外とするもの,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:224
9. 作業方針,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:236
「〜したい」形式の見出しを廃止する,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:197
「テストの種類」に置く対比,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:36
テストデータの2ページ,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:147
テーブルをキューとして使ったメッセージング,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:176
ページのアウトライン,design-heading,2,.rn/20260724-ntf-yaml-support/design.md:72
マッピングを唯一の基準とする,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:238
モジュール一覧の集約,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:48
用語集を作成する,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:186
白紙から作成する,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:244
記載範囲,design-heading,1,.rn/20260724-ntf-yaml-support/design.md:94
HTTPメッセージング,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:168
Jakarta Batchに準拠したバッチアプリケーション,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:170
MOMによるメッセージング,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:171
Nablarchバッチアプリケーション,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:169
RESTfulウェブサービス,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:167
ウェブアプリケーション,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:166
テーブルをキューとして使ったメッセージング,design-scheme,1,.rn/20260724-ntf-yaml-support/design.md:172
